trial,method,social_welfare,leader_utility,convergence_rounds
1,Random,35.17585153987361,28.140681231898892,
1,Pure-Stackelberg,37.748169946565945,37.748169946565945,
1,Pure-Consensus,34.81213369193344,31.330920322740095,
1,SCG (Ours),37.748169946565945,37.748169946565945,15.0
2,Random,45.61600535301882,36.49280428241506,
2,Pure-Stackelberg,49.282929487813874,49.28292948781387,
2,Pure-Consensus,45.73490246836302,41.16141222152672,
2,SCG (Ours),49.282929487813874,49.28292948781387,15.0
3,Random,40.045760497007905,32.03660839760632,
3,Pure-Stackelberg,50.718881663196925,50.718881663196925,
3,Pure-Consensus,39.59499880753536,35.63549892678183,
3,SCG (Ours),50.718881663196925,50.718881663196925,15.0
4,Random,44.88265364146578,35.906122913172624,
4,Pure-Stackelberg,47.65775683753529,47.65775683753529,
4,Pure-Consensus,45.21218928567011,40.6909703571031,
4,SCG (Ours),47.65775683753529,47.65775683753529,15.0
5,Random,48.42761506115658,38.742092048925265,
5,Pure-Stackelberg,52.05587367180222,52.05587367180221,
5,Pure-Consensus,47.97299057270873,43.17569151543786,
5,SCG (Ours),52.05587367180222,52.05587367180221,15.0
6,Random,41.94017861316121,33.55214289052897,
6,Pure-Stackelberg,57.58473748845863,57.58473748845863,
6,Pure-Consensus,40.521017042929394,36.46891533863646,
6,SCG (Ours),57.58473748845863,57.58473748845863,15.0
7,Random,42.19234530759461,33.753876246075684,
7,Pure-Stackelberg,45.84289643815115,45.84289643815114,
7,Pure-Consensus,42.25686159885197,38.03117543896678,
7,SCG (Ours),45.84289643815115,45.84289643815114,15.0
8,Random,46.02318321359783,36.81854657087827,
8,Pure-Stackelberg,59.163841999293474,59.16384199929349,
8,Pure-Consensus,43.31602453354967,38.984422080194705,
8,SCG (Ours),59.163841999293474,59.16384199929349,15.0
9,Random,44.906546940194396,35.925237552155515,
9,Pure-Stackelberg,53.75260407075102,53.75260407075102,
9,Pure-Consensus,44.45353883345581,40.00818495011023,
9,SCG (Ours),53.75260407075102,53.75260407075102,15.0
10,Random,45.975758043631174,36.78060643490494,
10,Pure-Stackelberg,67.16185855356558,67.16185855356558,
10,Pure-Consensus,44.445706082742376,40.00113547446814,
10,SCG (Ours),67.16185855356558,67.16185855356558,15.0
11,Random,53.22508951474171,42.58007161179337,
11,Pure-Stackelberg,60.6819878333609,60.68198783336091,
11,Pure-Consensus,53.88886826745542,48.49998144070988,
11,SCG (Ours),60.6819878333609,60.68198783336091,15.0
12,Random,46.452767793657955,37.16221423492637,
12,Pure-Stackelberg,51.483229210641646,51.48322921064165,
12,Pure-Consensus,47.06320939696455,42.3568884572681,
12,SCG (Ours),51.483229210641646,51.48322921064165,15.0
13,Random,48.07656634780828,38.46125307824663,
13,Pure-Stackelberg,46.465050749008476,46.46505074900847,
13,Pure-Consensus,49.272780059422416,44.345502053480175,
13,SCG (Ours),46.465050749008476,46.46505074900847,15.0
14,Random,45.06959516978887,36.0556761358311,
14,Pure-Stackelberg,46.42490392245035,46.424903922450355,
14,Pure-Consensus,45.21210649663781,40.69089584697403,
14,SCG (Ours),46.42490392245035,46.424903922450355,15.0
15,Random,52.899636516099164,42.31970921287933,
15,Pure-Stackelberg,54.505107385125704,54.505107385125704,
15,Pure-Consensus,55.311725128319225,49.7805526154873,
15,SCG (Ours),54.505107385125704,54.505107385125704,15.0
16,Random,51.43643277870103,41.14914622296083,
16,Pure-Stackelberg,59.25173150576414,59.25173150576413,
16,Pure-Consensus,51.02218970810876,45.91997073729789,
16,SCG (Ours),59.25173150576414,59.25173150576413,15.0
17,Random,39.933305440485086,31.94664435238807,
17,Pure-Stackelberg,45.44308520518706,45.443085205187046,
17,Pure-Consensus,40.98783606797579,36.88905246117822,
17,SCG (Ours),45.44308520518706,45.443085205187046,15.0
18,Random,46.96135265494135,37.56908212395308,
18,Pure-Stackelberg,46.204167501564136,46.204167501564136,
18,Pure-Consensus,47.40387643344105,42.66348879009694,
18,SCG (Ours),46.204167501564136,46.204167501564136,15.0
19,Random,46.49194977746083,37.19355982196867,
19,Pure-Stackelberg,51.66275342619637,51.66275342619637,
19,Pure-Consensus,47.92439300769364,43.13195370692428,
19,SCG (Ours),51.66275342619637,51.66275342619637,15.0
20,Random,41.76859263526387,33.4148741082111,
20,Pure-Stackelberg,49.82093353098738,49.82093353098738,
20,Pure-Consensus,41.05051453208094,36.94546307887285,
20,SCG (Ours),49.82093353098738,49.82093353098738,15.0
